PairID	type	plink.IBD.PI_HAT
E660.14-E660.11	QCarray	0.1854
E660.14-E772.16	QCarray	0
E660.14-E660.10	QCarray	0.056
E660.14-E620.10	QCarray	0
E660.14-E741.18	QCarray	0.0698
E660.14-E620.09	QCarray	0.0745
E660.14-E731.01	QCarray	0.0786
E660.14-E775.13	QCarray	0.0752
E660.14-E500.24	QCarray	0
E660.14-S51423.T	QCarray	0
E660.14-S51425.T	QCarray	0
E660.14-S51434.T	QCarray	0.0612
E660.14-S51435.T	QCarray	0.0359
E660.14-S51436.T	QCarray	0.0638
E660.14-S51445.T	QCarray	0
E660.14-S51446.T	QCarray	0.0789
E660.14-S51540.T	QCarray	0
E660.14-S51451.T	QCarray	0
E660.14-S51453.T	QCarray	0.0304
E660.14-S51454.T	QCarray	0.0271
E660.14-S51455.T	QCarray	0
E660.14-S51458.T	QCarray	0
E660.14-S51468.T	QCarray	0
E660.14-S51472.T	QCarray	0.0408
E660.14-S51481.T	QCarray	0
E660.14-S51484.T	QCarray	0
E660.14-S51485.T	QCarray	0
E660.14-S51486.T	QCarray	0
E660.14-S51487.T	QCarray	0
E660.14-S51417.T	QCarray	0
E660.14-S51418.T	QCarray	0.0525
E660.14-S51420.T	QCarray	0
E660.14-S51424.T	QCarray	0
E660.14-S51427.T	QCarray	0
E660.14-S51429.T	QCarray	0
E660.14-S51430.T	QCarray	0
E660.14-S51431.T	QCarray	0.0126
E660.14-S51432.T	QCarray	0
E660.14-S51441.T	QCarray	0.051
E660.14-S51448.T	QCarray	0
E660.14-S51449.T	QCarray	0
E660.14-S51459.T	QCarray	0
E660.14-S51460.T	QCarray	0.0558
E660.14-S51461.T	QCarray	0
E660.14-S51466.T	QCarray	0
E660.14-S51466.N	QCarray	0
E660.14-S51468.N	QCarray	0
E660.14-S51475.T	QCarray	0
E660.14-S51480.T	QCarray	0
E660.14-S51490.T	QCarray	0
E660.14-S51491.N	QCarray	0
E660.14-S51480.N	QCarray	0
